,cc,md
0,0.8697396417147059,62.96
1,0.8841130184109215,58.02
2,0.8602744505158471,59.54
3,0.8830666078076206,58.04
4,0.8616312214039411,63.72
5,0.8640637200945924,65.34
6,0.8802136390597647,58.26
7,0.8614592296188893,63.76
8,0.8696123799056262,63.94
9,0.863457217839798,64.36
10,0.8756145437038216,60.5
11,0.881338618849538,62.56
12,0.8687984841556065,61.96
13,0.8662025641382338,59.52
14,0.8706064603364618,62.08
15,0.880727764873097,56.52
16,0.8793273924828054,59.76
17,0.8533205983263713,58.92
18,0.8774311181333705,62.86
19,0.8780131202770217,60.7
20,0.8703016831876986,59.18
21,0.8664584824115199,63.16
22,0.8617713244741704,62.78
23,0.863827648811032,59.44
24,0.8741711831515953,61.74
